Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Perubahan%
02/11/2020,1.164,1.1658,1.1658,1.1622,-0.0006
30/10/2020,1.1647,1.1674,1.1705,1.1639,-0.0023
29/10/2020,1.1674,1.1746,1.176,1.165,-0.006
28/10/2020,1.1744,1.1796,1.1798,1.1717,-0.0043
27/10/2020,1.1795,1.181,1.1839,1.1793,-0.0011
26/10/2020,1.1808,1.1858,1.1861,1.1803,-0.0043
23/10/2020,1.1859,1.1819,1.1866,1.1787,0.0036
22/10/2020,1.1816,1.1862,1.1868,1.1811,-0.0038
21/10/2020,1.1861,1.1822,1.1882,1.1821,0.0034
20/10/2020,1.1821,1.1769,1.1841,1.176,0.0047
19/10/2020,1.1766,1.1722,1.1795,1.1703,0.0041
16/10/2020,1.1718,1.1708,1.1746,1.1694,0.001
15/10/2020,1.1706,1.1747,1.176,1.1688,-0.0034
14/10/2020,1.1746,1.1746,1.1772,1.1719,0.0002
13/10/2020,1.1744,1.1813,1.1817,1.1731,-0.0058
12/10/2020,1.1813,1.1819,1.1827,1.1786,-0.0009
09/10/2020,1.1824,1.1759,1.1832,1.1753,0.0056
08/10/2020,1.1758,1.1762,1.1782,1.1732,-0.0002
07/10/2020,1.176,1.1735,1.1783,1.1724,0.0022
06/10/2020,1.1734,1.1782,1.1809,1.1731,-0.004
05/10/2020,1.1781,1.1716,1.1798,1.1707,0.0058
02/10/2020,1.1713,1.1748,1.1751,1.1695,-0.0029
01/10/2020,1.1747,1.1719,1.177,1.1717,0.0025
30/09/2020,1.1718,1.1743,1.1756,1.1684,-0.002
29/09/2020,1.1742,1.1666,1.1746,1.166,0.0067
28/09/2020,1.1664,1.1638,1.1679,1.1615,0.0029
25/09/2020,1.163,1.1671,1.1686,1.1612,-0.0036
24/09/2020,1.1672,1.166,1.1688,1.1626,0.0011
23/09/2020,1.1659,1.1708,1.1719,1.1651,-0.004
22/09/2020,1.1706,1.177,1.1774,1.1691,-0.0054
21/09/2020,1.1769,1.1848,1.1873,1.1731,-0.0057
18/09/2020,1.1837,1.1848,1.1871,1.1826,-0.0008
17/09/2020,1.1847,1.1816,1.1854,1.1737,0.0028
16/09/2020,1.1814,1.185,1.1883,1.1787,-0.0026
15/09/2020,1.1845,1.1865,1.1901,1.1839,-0.0019
14/09/2020,1.1868,1.184,1.1889,1.183,0.0019
11/09/2020,1.1845,1.1814,1.1875,1.1812,0.0027
10/09/2020,1.1813,1.1801,1.1918,1.18,0.0009
09/09/2020,1.1802,1.1777,1.1834,1.1753,0.002
08/09/2020,1.1779,1.1817,1.1829,1.1765,-0.0032
07/09/2020,1.1817,1.1833,1.1849,1.1811,-0.0018
04/09/2020,1.1838,1.185,1.1866,1.1781,-0.0009
03/09/2020,1.1849,1.1852,1.1866,1.1789,-0.0003
02/09/2020,1.1853,1.1911,1.1931,1.1822,-0.0048
01/09/2020,1.191,1.1936,1.2012,1.1901,-0.0022
31/08/2020,1.1936,1.1899,1.1967,1.1883,0.0028
28/08/2020,1.1903,1.1822,1.192,1.181,0.0069
27/08/2020,1.1821,1.1831,1.1902,1.1762,-0.0007
26/08/2020,1.1829,1.1834,1.1841,1.1772,-0.0003
25/08/2020,1.1833,1.1793,1.1845,1.1783,0.0039
24/08/2020,1.1787,1.1787,1.1851,1.1783,-0.0007
21/08/2020,1.1795,1.186,1.1883,1.1754,-0.0054
20/08/2020,1.1859,1.1839,1.1869,1.1802,0.0019
19/08/2020,1.1836,1.1931,1.1954,1.183,-0.0078
18/08/2020,1.1929,1.187,1.1967,1.1865,0.0051
17/08/2020,1.1869,1.184,1.1882,1.1829,0.0024
14/08/2020,1.1841,1.1815,1.1852,1.1782,0.0025
13/08/2020,1.1812,1.1786,1.1865,1.1781,0.0025
12/08/2020,1.1782,1.174,1.1816,1.171,0.0037
11/08/2020,1.1739,1.1738,1.1808,1.1722,0.0003
10/08/2020,1.1736,1.1788,1.1803,1.1736,-0.0044
07/08/2020,1.1788,1.1877,1.1884,1.1755,-0.0075
06/08/2020,1.1876,1.1863,1.1917,1.1818,0.0011
05/08/2020,1.1863,1.1802,1.1906,1.1793,0.0052
04/08/2020,1.1802,1.1765,1.1807,1.172,0.0033
03/08/2020,1.1763,1.1783,1.1797,1.1696,-0.0011
31/07/2020,1.1776,1.1846,1.191,1.176,-0.006
30/07/2020,1.1847,1.1788,1.1849,1.1731,0.0047
